com.samsung.shealth.tracker.pedometer_day_summary,1144003,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1638057600000,2.504554,29.11.2021 à 09:08:44,com.sec.android.app.shealth,,com.sec.android.app.shealth,1319,6d9f4bbb-65e3-450c-9440-e653711c27f6.binning_data,680218,6d9f4bbb-65e3-450c-9440-e653711c27f6.achievement,0,45.330002,6000,6d9f4bbb-65e3-450c-9440-e653711c27f6,3hCrv0rpUB,1008.179993,28.11.2021 à 14:03:04,0,1319,
1638057600000,1.389185,29.11.2021 à 09:08:44,com.sec.android.app.shealth,,com.sec.android.app.shealth,1395,9fe21f57-d49a-4443-b953-993e19d4f3b6.binning_data,763533,9fe21f57-d49a-4443-b953-993e19d4f3b6.achievement,0,48.565208,6000,9fe21f57-d49a-4443-b953-993e19d4f3b6,VfS0qUERdZ,1060.688965,28.11.2021 à 14:03:04,0,1395,
1638057600000,1.839353,28.11.2021 à 22:12:28,com.sec.android.app.shealth,,com.sec.android.app.shealth,726,0c9216d3-d9af-4056-86dd-91c98a4368a2.binning_data,477000,0c9216d3-d9af-4056-86dd-91c98a4368a2.achievement,0,26.556728,6000,0c9216d3-d9af-4056-86dd-91c98a4368a2,NS2ZoYjFXt,549.919983,28.11.2021 à 14:14:21,0,726,
1638144000000,2.235161,30.11.2021 à 00:21:57,com.sec.android.app.shealth,,com.sec.android.app.shealth,8740,4507822a-8b7a-4ac2-86a3-de0a2b28c27d.binning_data,5059000,4507822a-8b7a-4ac2-86a3-de0a2b28c27d.achievement,0,325.821564,6000,4507822a-8b7a-4ac2-86a3-de0a2b28c27d,NS2ZoYjFXt,7162.450195,29.11.2021 à 09:08:37,0,8740,
1638144000000,1.464343,01.12.2021 à 10:56:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,10256,5250db30-c7fd-413c-b495-3df22a27e848.binning_data,5607178,5250db30-c7fd-413c-b495-3df22a27e848.achievement,0,370.875854,6000,5250db30-c7fd-413c-b495-3df22a27e848,VfS0qUERdZ,8210.829102,29.11.2021 à 09:08:37,37,10293,
1638144000000,6.944445,01.12.2021 à 10:56:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,8502,cc759ab0-4e4f-4465-a71b-23520db23883.binning_data,4385706,cc759ab0-4e4f-4465-a71b-23520db23883.achievement,0,293.299988,6000,cc759ab0-4e4f-4465-a71b-23520db23883,3hCrv0rpUB,6532.140137,29.11.2021 à 09:08:44,39,8541,
1638230400000,2.372491,30.11.2021 à 23:56:08,com.sec.android.app.shealth,,com.sec.android.app.shealth,11130,670ca30f-1906-49ad-ba5c-dc7c98701c00.binning_data,6565000,670ca30f-1906-49ad-ba5c-dc7c98701c00.achievement,0,429.935089,6000,670ca30f-1906-49ad-ba5c-dc7c98701c00,NS2ZoYjFXt,9510.816406,30.11.2021 à 00:21:57,0,11130,
1638230400000,1.429681,30.11.2021 à 23:56:08,com.sec.android.app.shealth,,com.sec.android.app.shealth,11130,69b91d95-2045-421c-baeb-bb4625159070.binning_data,6652402,69b91d95-2045-421c-baeb-bb4625159070.achievement,0,429.935089,6000,69b91d95-2045-421c-baeb-bb4625159070,VfS0qUERdZ,9510.816406,30.11.2021 à 00:21:58,0,11130,
1638316800000,1.626521,01.12.2021 à 14:59:34,com.sec.android.app.shealth,,com.sec.android.app.shealth,4588,17d828c3-a0f1-4311-84ad-f133db27ec8b.binning_data,2339009,17d828c3-a0f1-4311-84ad-f133db27ec8b.achievement,0,162.439133,6000,17d828c3-a0f1-4311-84ad-f133db27ec8b,VfS0qUERdZ,3804.448486,01.12.2021 à 10:38:46,2,4590,
1638316800000,2.305556,01.12.2021 à 14:59:34,com.sec.android.app.shealth,,com.sec.android.app.shealth,4453,8e0a093e-f601-4113-975a-5976e6c42721.binning_data,2227754,8e0a093e-f601-4113-975a-5976e6c42721.achievement,0,144.410004,6000,8e0a093e-f601-4113-975a-5976e6c42721,3hCrv0rpUB,3416.300049,01.12.2021 à 10:56:26,4,4457,
1638316800000,2.506478,01.12.2021 à 14:59:32,com.sec.android.app.shealth,,com.sec.android.app.shealth,3559,898a4727-5424-492f-aa5a-1f56a1e19828.binning_data,1988000,898a4727-5424-492f-aa5a-1f56a1e19828.achievement,0,145.781845,6000,898a4727-5424-492f-aa5a-1f56a1e19828,NS2ZoYjFXt,3365.599609,01.12.2021 à 14:59:32,0,3559,

